timestamp	Cloud Ring	Fade	Fountain	Outer Ring	Syndicate
2016-01-12 00:00:00	134.0	558.75	5196.0	82.5	739.0
2016-01-12 12:00:00	237.884615385	678.721153846	5829.61538462	186.403846154	879.0
2016-01-13 00:00:00	280.673076923	650.925213675	5393.99358974	187.38034188	832.0
2016-01-13 12:00:00	314.427884615	730.501602564	5576.9375	214.400641026	797.019230769
2016-01-14 00:00:00	303.126923077	750.601282051	5282.04230769	260.751282051	769.107692308
2016-01-14 12:00:00	298.426282051	874.001068376	5360.0224359	272.061965812	807.948717949
2016-01-15 00:00:00	297.892857143	832.264652015	5161.68956044	269.965201465	801.769230769
2016-01-15 12:00:00	283.302083333	865.002403846	5162.83253205	266.407051282	819.756410256
2016-01-16 00:00:00	292.571314103	900.831730769	5053.72676282	284.123397436	841.592948718
2016-01-16 12:00:00	281.619391026	932.5625	4860.46714744	287.604166667	827.746794872
2016-01-17 00:00:00	257.536057692	968.333333333	4713.21714744	289.947916667	816.215544872
2016-01-17 12:00:00	233.189903846	1000.68910256	4648.11137821	287.563301282	842.109775641
2016-01-18 00:00:00	238.199519231	950.459935897	4552.8974359	264.887820513	835.25
2016-01-18 12:00:00	226.382211538	927.008012821	4487.20512821	268.435897436	824.788461538
2016-01-19 00:00:00	222.353365385	1270.77724359	4500.08012821	259.243589744	793.153846154
2016-01-19 12:00:00	207.843895688	1553.74504662	4611.45323427	265.487907925	765.343240093
2016-01-20 00:00:00	196.690049534	1797.38927739	4544.52054196	259.468677156	723.92016317
2016-01-20 12:00:00	188.795818765	1852.14889277	4742.3666958	263.478292541	713.506701632
2016-01-21 00:00:00	178.222902098	2113.80514277	4856.5229458	257.707459207	695.787951632
2016-01-21 12:00:00	161.309440559	2445.68975816	4987.33063811	255.043997669	702.903336247
2016-01-22 00:00:00	136.778190559	2964.53350816	4997.76813811	247.471081002	688.351252914
2016-01-22 12:00:00	125.38395979	3130.03350816	5043.68159965	232.298004079	694.082022145
2016-01-23 00:00:00	98.3070367133	3033.87004662	4999.73929196	242.923004079	691.908945221
2016-01-23 12:00:00	109.899839744	3366.71474359	4976.12660256	233.657852564	720.021634615
2016-01-24 00:00:00	123.342147436	3298.33974359	5066.94391026	236.225160256	714.319711538
2016-01-24 12:00:00	123.717147436	3710.24358974	4978.94391026	244.898237179	709.502403846
2016-01-25 00:00:00	125.540064103	3858.54567308	4883.32932692	253.106570513	723.721153846
2016-01-25 12:00:00	145.059294872	4034.68990385	4623.76201923	257.510416667	722.798076923
2016-01-26 00:00:00	164.528044872	3976.56490385	4636.31410256	256.385416667	755.58974359
2016-01-26 12:00:00	222.354967949	4217.39182692	4693.58333333	253.846955128	732.849358974
2016-01-27 00:00:00	248.853365385	4384.07612179	4661.03285256	256.272435897	742.570512821
2016-01-27 12:00:00	267.403044872	4219.15625	4634.1875	258.634615385	713.367788462
2016-01-28 00:00:00	266.903044872	4606.29086538	4520.02403846	260.846153846	708.983173077
2016-01-28 12:00:00	274.854967949	4573.62740385	4473.11057692	257.567307692	699.28125
